,course_title,course_organization,course_rating,course_difficulty,course_students_enrolled
196,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
197,Introduction to Data Science,IBM,4.6,Beginner,590K
198,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
199,Machine Learning,Stanford University,4.9,Mixed,4.4M
200,Google Data Analytics,Google,4.8,Beginner,380K
201,Google Project Management:,Google,4.8,Beginner,260K
202,IBM Data Science,IBM,4.6,Beginner,900K
203,Google UX Design,Google,4.8,Beginner,220K
204,Google IT Support,Google,4.8,Beginner,1M
205,IBM Data Analyst,IBM,4.6,Beginner,580K
206,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
207,Introduction to Data Science,IBM,4.6,Beginner,590K
208,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
209,Machine Learning,Stanford University,4.9,Mixed,4.4M
210,Google Data Analytics,Google,4.8,Beginner,380K
211,Google Project Management:,Google,4.8,Beginner,260K
212,IBM Data Science,IBM,4.6,Beginner,900K
213,Google UX Design,Google,4.8,Beginner,220K
214,Google IT Support,Google,4.8,Beginner,1M
215,IBM Data Analyst,IBM,4.6,Beginner,580K
216,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
217,Introduction to Data Science,IBM,4.6,Beginner,590K
218,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
219,Machine Learning,Stanford University,4.9,Mixed,4.4M
220,Google Data Analytics,Google,4.8,Beginner,380K
221,Google Project Management:,Google,4.8,Beginner,260K
222,IBM Data Science,IBM,4.6,Beginner,900K
223,Google UX Design,Google,4.8,Beginner,220K
224,Google IT Support,Google,4.8,Beginner,1M
225,IBM Data Analyst,IBM,4.6,Beginner,580K
226,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
227,Introduction to Data Science,IBM,4.6,Beginner,590K
228,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
229,Machine Learning,Stanford University,4.9,Mixed,4.4M
230,Google Data Analytics,Google,4.8,Beginner,380K
231,Google Project Management:,Google,4.8,Beginner,260K
232,IBM Data Science,IBM,4.6,Beginner,900K
233,Google UX Design,Google,4.8,Beginner,220K
234,Google IT Support,Google,4.8,Beginner,1M
235,IBM Data Analyst,IBM,4.6,Beginner,580K
236,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
237,Introduction to Data Science,IBM,4.6,Beginner,590K
238,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
239,Machine Learning,Stanford University,4.9,Mixed,4.4M
240,Google Data Analytics,Google,4.8,Beginner,380K
241,Google Project Management:,Google,4.8,Beginner,260K
242,IBM Data Science,IBM,4.6,Beginner,900K
243,Google UX Design,Google,4.8,Beginner,220K
244,Google IT Support,Google,4.8,Beginner,1M
245,IBM Data Analyst,IBM,4.6,Beginner,580K
246,Deep Learning,DeepLearning.AI,4.8,Intermediate,1.1M
247,Introduction to Data Science,IBM,4.6,Beginner,590K
248,Data Science Fundamentals with Python and SQL,IBM,4.6,Beginner,490K
249,Machine Learning,Stanford University,4.9,Mixed,4.4M
250,Google Data Analytics,Google,4.8,Beginner,380K
251,Google Project Management:,Google,4.8,Beginner,260K
252,IBM Data Science,IBM,4.6,Beginner,900K
